text,category,priority
vaccine kab lagega Block Malihabad center par?,Health (Medical),Low
bridge railing toot gayi hai Gonda City mein,Roads (PWD/NHAI),High
library books request for Gram Kachhona village school,Rural Development (Panchayati Raj),Low
child kidnapped from Post Kakori school area,Police (Home Dept),High
general query about filing fir online for Hardoi City resident,Police (Home Dept),Low
"huge crater in middle of road at Sigra, Varanasi causing accidents daily",Roads (PWD/NHAI),High
library books request for Block Malihabad village school,Rural Development (Panchayati Raj),Low
zebra crossing repaint kara do Agra Fort area chowk par,Roads (PWD/NHAI),Low
"live wire fell on the street in Gomti Nagar, Lucknow, huge danger to kids",Electricity (UPPCL),High
unhygienic toilets in the Gonda City government hospital,Health (Medical),Medium
talaab par kabza ho raha hai Village Basrehar gaon mein,Rural Development (Panchayati Raj),Medium
"road caved in due to heavy rain in Hazratganj, Lucknow, traffic blocked",Roads (PWD/NHAI),High
low voltage problem in Sitapur One during evening hours,Electricity (UPPCL),Medium
"ladayi ho rahi hai Civil Lines, Kanpur chourahe par",Police (Home Dept),High
birth certificate spelling correction request at Block Malihabad,Health (Medical),Low
passport verification pending at Basti thana for 2 weeks,Police (Home Dept),Low
"traffic police asking for bribe at Hazratganj, Lucknow crossing",Police (Home Dept),Medium
"clean water nahi aa raha hai Orai mein, paani bohot ganda hai",Sanitation & Water (Jal Nigam/Nagar Nigam),High
solar panel subsidy ki jankari chahiye Bareilly Cantt ke liye,Electricity (UPPCL),Low
transformer caught fire in Agra Fort area and oil is leaking,Electricity (UPPCL),High
" मच्छर बहुत हो गए हैं Gomti Nagar, Lucknow में, फॉगिंग करवाओ",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
"long waiting line for opd registration in Sigra, Varanasi",Health (Medical),Low
road construction incomplete in Bareilly Cantt,Roads (PWD/NHAI),Medium
"bridge railing toot gayi hai Gomti Nagar, Lucknow mein",Roads (PWD/NHAI),High
library books request for Village Basrehar village school,Rural Development (Panchayati Raj),Low
"clean water nahi aa raha hai Noida Sector 18 mein, paani bohot ganda hai",Sanitation & Water (Jal Nigam/Nagar Nigam),High
"bridge railing toot gayi hai Gomti Nagar, Lucknow mein",Roads (PWD/NHAI),High
internet nahi chal raha Gram Panchayat Bojhi panchayat bhavan me,Rural Development (Panchayati Raj),Low
sadak par bada gadda hai Gram Kachhona market ke paas,Roads (PWD/NHAI),High
"clean water nahi aa raha hai Unnao City mein, paani bohot ganda hai",Sanitation & Water (Jal Nigam/Nagar Nigam),High
" मच्छर बहुत हो गए हैं Civil Lines, Kanpur में, फॉगिंग करवाओ",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
encroachment by shopkeepers on road in Village Chhata,Roads (PWD/NHAI),Medium
phone chori ho gaya Unnao City market me,Police (Home Dept),Medium
"oxygen cylinder available nahi hai Hazratganj, Lucknow hospital me",Health (Medical),High
meter reading galat hai Block Malihabad wale ghar ki,Electricity (UPPCL),Medium
public toilet tap is dripping in Post Kakori,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
"water pipeline leakage wasting water in Gomti Nagar, Lucknow",Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
" मच्छर बहुत हो गए हैं Meerut City में, फॉगिंग करवाओ",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
footpath tiles broken in some places at Tehsil Bikapur,Roads (PWD/NHAI),Low
"live wire fell on the street in Village Rampur, huge danger to kids",Electricity (UPPCL),High
armed robbery in shop at Basti market last night,Police (Home Dept),High
garbage truck not coming to Faizabad Chowk for last 3 days,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
meter reading galat hai Hardoi City wale ghar ki,Electricity (UPPCL),Medium
internet nahi chal raha Block Malihabad panchayat bhavan me,Rural Development (Panchayati Raj),Low
water pipeline leakage wasting water in Ghaziabad,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
internet nahi chal raha Gram Kachhona panchayat bhavan me,Rural Development (Panchayati Raj),Low
stray cattle destroying crops in Gram Panchayat Bojhi farms,Rural Development (Panchayati Raj),Medium
internet nahi chal raha Mau Tehsil panchayat bhavan me,Rural Development (Panchayati Raj),Low
"sewage water mixing with drinking water in Faizabad Chowk, kids falling sick",Sanitation & Water (Jal Nigam/Nagar Nigam),High
doctor refused to treat critical patient in Raebareli Market phc,Health (Medical),High
ladayi ho rahi hai Prayagraj City chourahe par,Police (Home Dept),High
ladayi ho rahi hai Etawah Main chourahe par,Police (Home Dept),High
"chori ho gayi hai Unnao City mein, police bhejo",Police (Home Dept),High
mobile phone snatched while walking in Sitapur One,Police (Home Dept),Medium
internet nahi chal raha Tehsil Bikapur panchayat bhavan me,Rural Development (Panchayati Raj),Low
vaccine kab lagega Orai center par?,Health (Medical),Low
bridge railing toot gayi hai Ghaziabad mein,Roads (PWD/NHAI),High
"primary school roof is leaking in Remote area of Sonbhadra, dangerous for kids",Rural Development (Panchayati Raj),Medium
street light pole looking tilted in Gram Kachhona,Electricity (UPPCL),Low
child kidnapped from Meerut City school area,Police (Home Dept),High
internet nahi chal raha Post Kakori panchayat bhavan me,Rural Development (Panchayati Raj),Low
vaccine kab lagega Etawah Main center par?,Health (Medical),Low
"ladayi ho rahi hai Sigra, Varanasi chourahe par",Police (Home Dept),High
passport verification pending at Block Malihabad thana for 2 weeks,Police (Home Dept),Low
garbage truck not coming to Noida Sector 18 for last 3 days,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
public toilet tap is dripping in Prayagraj City,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
solar panel subsidy ki jankari chahiye Agra Fort area ke liye,Electricity (UPPCL),Low
long waiting line for opd registration in Village Rampur,Health (Medical),Low
ganda paani nalo se aa raha hai Meerut City area me,Sanitation & Water (Jal Nigam/Nagar Nigam),High
"dogs roaming inside the ward at Civil Lines, Kanpur chc",Health (Medical),Medium
ganda paani nalo se aa raha hai Gram Kachhona area me,Sanitation & Water (Jal Nigam/Nagar Nigam),High
"loudspeaker shor kar raha hai Hazratganj, Lucknow mein raat ko",Police (Home Dept),Medium
garbage truck not coming to Remote area of Sonbhadra for last 3 days,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
"clean water nahi aa raha hai Meerut City mein, paani bohot ganda hai",Sanitation & Water (Jal Nigam/Nagar Nigam),High
park needs cleaning in Post Kakori residential area,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
"garbage truck not coming to Hazratganj, Lucknow for last 3 days",Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
"road caved in due to heavy rain in Mau Tehsil, traffic blocked",Roads (PWD/NHAI),High
dogs roaming inside the ward at Ghaziabad chc,Health (Medical),Medium
meter name change application pending in Mau Tehsil,Electricity (UPPCL),Low
water pipeline leakage wasting water in Remote area of Sonbhadra,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
pradhan ne paisa kha liya Post Kakori road ka,Rural Development (Panchayati Raj),High
"handpump kharab hai Hazratganj, Lucknow mein",Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
low voltage problem in Village Basrehar during evening hours,Electricity (UPPCL),Medium
bijli ka bill bahut jyada aaya hai Bareilly Cantt mein,Electricity (UPPCL),Medium
village pond is being encroached by builder in Village Basrehar,Rural Development (Panchayati Raj),Medium
"sewage water mixing with drinking water in Post Kakori, kids falling sick",Sanitation & Water (Jal Nigam/Nagar Nigam),High
"meter name change application pending in Sigra, Varanasi",Electricity (UPPCL),Low
"ambulance nahi aa rahi Raebareli Market mein, patient serious hai",Health (Medical),High
unhygienic toilets in the Gram Kachhona government hospital,Health (Medical),Medium
solar panel subsidy ki jankari chahiye Agra Fort area ke liye,Electricity (UPPCL),Low
"zebra crossing repaint kara do Gomti Nagar, Lucknow chowk par",Roads (PWD/NHAI),Low
" मच्छर बहुत हो गए हैं Remote area of Sonbhadra में, फॉगिंग करवाओ",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
zebra crossing repaint kara do Barabanki Town chowk par,Roads (PWD/NHAI),Low
child kidnapped from Hardoi City school area,Police (Home Dept),High
"flood water entered village houses in Block Malihabad, need rescue",Rural Development (Panchayati Raj),High
kachra uthane vali gaadi nahi aayi Block Malihabad mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
mnrega ka paisa nahi mila Village Chhata mein,Rural Development (Panchayati Raj),High
library books request for Gram Kachhona village school,Rural Development (Panchayati Raj),Low
huge crater in middle of road at Village Chhata causing accidents daily,Roads (PWD/NHAI),High
handpump kharab hai Raebareli Market mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
long waiting line for opd registration in Orai,Health (Medical),Low
loudspeaker shor kar raha hai Barabanki Town mein raat ko,Police (Home Dept),Medium
passport verification pending at Unnao City thana for 2 weeks,Police (Home Dept),Low
birth certificate spelling correction request at Village Rampur,Health (Medical),Low
oxygen cylinder available nahi hai Village Basrehar hospital me,Health (Medical),High
internet nahi chal raha Village Chhata panchayat bhavan me,Rural Development (Panchayati Raj),Low
huge crater in middle of road at Remote area of Sonbhadra causing accidents daily,Roads (PWD/NHAI),High
footpath tiles broken in some places at Orai,Roads (PWD/NHAI),Low
doctor refused to treat critical patient in Noida Sector 18 phc,Health (Medical),High
stray cattle destroying crops in Mau Tehsil farms,Rural Development (Panchayati Raj),Medium
phone chori ho gaya Prayagraj City market me,Police (Home Dept),Medium
unhygienic toilets in the Block Malihabad government hospital,Health (Medical),Medium
fake medicine racket operating in Sitapur One medical stores,Health (Medical),High
need a sign board direction for Faizabad Chowk village,Roads (PWD/NHAI),Low
"ambulance nahi aa rahi Remote area of Sonbhadra mein, patient serious hai",Health (Medical),High
pradhan embezzled all money for road construction in Post Kakori,Rural Development (Panchayati Raj),High
huge crater in middle of road at Hardoi City causing accidents daily,Roads (PWD/NHAI),High
garbage truck not coming to Mau Tehsil for last 3 days,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
"sadak toot gayi hai Hazratganj, Lucknow mein",Roads (PWD/NHAI),Medium
solar panel subsidy ki jankari chahiye Noida Sector 18 ke liye,Electricity (UPPCL),Low
library books request for Tehsil Bikapur village school,Rural Development (Panchayati Raj),Low
birth certificate spelling correction request at Faizabad Chowk,Health (Medical),Low
meter name change application pending in Gram Panchayat Bojhi,Electricity (UPPCL),Low
stray cattle destroying crops in Gram Kachhona farms,Rural Development (Panchayati Raj),Medium
phone chori ho gaya Post Kakori market me,Police (Home Dept),Medium
"meter name change application pending in Gomti Nagar, Lucknow",Electricity (UPPCL),Low
doctor refused to treat critical patient in Sitapur One phc,Health (Medical),High
transformer caught fire in Bareilly Cantt and oil is leaking,Electricity (UPPCL),High
long waiting line for opd registration in Remote area of Sonbhadra,Health (Medical),Low
poore gaon mein light nahi hai Hardoi City mein pichle 2 din se,Electricity (UPPCL),High
public toilet tap is dripping in Raebareli Market,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
doctor refused to treat critical patient in Remote area of Sonbhadra phc,Health (Medical),High
mnrega ka paisa nahi mila Village Chhata mein,Rural Development (Panchayati Raj),High
"chori ho gayi hai Sigra, Varanasi mein, police bhejo",Police (Home Dept),High
library books request for Gram Kachhona village school,Rural Development (Panchayati Raj),Low
meter name change application pending in Village Chhata,Electricity (UPPCL),Low
" मच्छर बहुत हो गए हैं Village Basrehar में, फॉगिंग करवाओ",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
"open manhole on main road in Civil Lines, Kanpur, heavy accident risk",Sanitation & Water (Jal Nigam/Nagar Nigam),High
doctor refused to treat critical patient in Village Rampur phc,Health (Medical),High
pradhan ne paisa kha liya Block Malihabad road ka,Rural Development (Panchayati Raj),High
" मच्छर बहुत हो गए हैं Meerut City में, फॉगिंग करवाओ",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
"ganda paani nalo se aa raha hai Civil Lines, Kanpur area me",Sanitation & Water (Jal Nigam/Nagar Nigam),High
"ganda paani nalo se aa raha hai Civil Lines, Kanpur area me",Sanitation & Water (Jal Nigam/Nagar Nigam),High
pradhan ne paisa kha liya Tehsil Bikapur road ka,Rural Development (Panchayati Raj),High
"passport verification pending at Sigra, Varanasi thana for 2 weeks",Police (Home Dept),Low
meter name change application pending in Agra Fort area,Electricity (UPPCL),Low
"chori ho gayi hai Civil Lines, Kanpur mein, police bhejo",Police (Home Dept),High
"ambulance nahi aa rahi Agra Fort area mein, patient serious hai",Health (Medical),High
village pond is being encroached by builder in Village Rampur,Rural Development (Panchayati Raj),Medium
sadak par bada gadda hai Meerut City market ke paas,Roads (PWD/NHAI),High
doctor late aate hain Post Kakori hospital mein,Health (Medical),Medium
road construction incomplete in Agra Fort area,Roads (PWD/NHAI),Medium
road construction incomplete in Block Malihabad,Roads (PWD/NHAI),Medium
huge crater in middle of road at Gonda City causing accidents daily,Roads (PWD/NHAI),High
"ambulance nahi aa rahi Agra Fort area mein, patient serious hai",Health (Medical),High
unhygienic toilets in the Noida Sector 18 government hospital,Health (Medical),Medium
vaccine kab lagega Tehsil Bikapur center par?,Health (Medical),Low
"primary school roof is leaking in Gram Kachhona, dangerous for kids",Rural Development (Panchayati Raj),Medium
general query about filing fir online for Prayagraj City resident,Police (Home Dept),Low
need a sign board direction for Bareilly Cantt village,Roads (PWD/NHAI),Low
potholes needs repair in Orai before monsoon,Roads (PWD/NHAI),Medium
need a sign board direction for Gonda City village,Roads (PWD/NHAI),Low
encroachment by shopkeepers on road in Faizabad Chowk,Roads (PWD/NHAI),Medium
"handpump kharab hai Gomti Nagar, Lucknow mein",Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
"clean water nahi aa raha hai Post Kakori mein, paani bohot ganda hai",Sanitation & Water (Jal Nigam/Nagar Nigam),High
solar panel subsidy ki jankari chahiye Gonda City ke liye,Electricity (UPPCL),Low
stray cattle destroying crops in Remote area of Sonbhadra farms,Rural Development (Panchayati Raj),Medium
"vaccine kab lagega Sigra, Varanasi center par?",Health (Medical),Low
encroachment by shopkeepers on road in Mau Tehsil,Roads (PWD/NHAI),Medium
pradhan embezzled all money for road construction in Gram Kachhona,Rural Development (Panchayati Raj),High
vaccine kab lagega Remote area of Sonbhadra center par?,Health (Medical),Low
"birth certificate spelling correction request at Hazratganj, Lucknow",Health (Medical),Low
garbage truck not coming to Etawah Main for last 3 days,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
low voltage problem in Tehsil Bikapur during evening hours,Electricity (UPPCL),Medium
sadak par bada gadda hai Unnao City market ke paas,Roads (PWD/NHAI),High
footpath tiles broken in some places at Bareilly Cantt,Roads (PWD/NHAI),Low
traffic police asking for bribe at Bareilly Cantt crossing,Police (Home Dept),Medium
poore gaon mein light nahi hai Bareilly Cantt mein pichle 2 din se,Electricity (UPPCL),High
fake medicine racket operating in Hardoi City medical stores,Health (Medical),High
traffic police asking for bribe at Block Malihabad crossing,Police (Home Dept),Medium
"clean water nahi aa raha hai Block Malihabad mein, paani bohot ganda hai",Sanitation & Water (Jal Nigam/Nagar Nigam),High
footpath tiles broken in some places at Block Malihabad,Roads (PWD/NHAI),Low
"live wire fell on the street in Barabanki Town, huge danger to kids",Electricity (UPPCL),High
park needs cleaning in Etawah Main residential area,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
" मच्छर बहुत हो गए हैं Gram Panchayat Bojhi में, फॉगिंग करवाओ",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
"live wire fell on the street in Hardoi City, huge danger to kids",Electricity (UPPCL),High
park needs cleaning in Block Malihabad residential area,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
public toilet tap is dripping in Agra Fort area,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
phone chori ho gaya Post Kakori market me,Police (Home Dept),Medium
transformer caught fire in Village Rampur and oil is leaking,Electricity (UPPCL),High
armed robbery in shop at Post Kakori market last night,Police (Home Dept),High
fake medicine racket operating in Tehsil Bikapur medical stores,Health (Medical),High
bijli ka bill bahut jyada aaya hai Barabanki Town mein,Electricity (UPPCL),Medium
footpath tiles broken in some places at Village Basrehar,Roads (PWD/NHAI),Low
meter reading galat hai Agra Fort area wale ghar ki,Electricity (UPPCL),Medium
road construction incomplete in Meerut City,Roads (PWD/NHAI),Medium
birth certificate spelling correction request at Gram Kachhona,Health (Medical),Low
" मच्छर बहुत हो गए हैं Meerut City में, फॉगिंग करवाओ",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
"clean water nahi aa raha hai Remote area of Sonbhadra mein, paani bohot ganda hai",Sanitation & Water (Jal Nigam/Nagar Nigam),High
dogs roaming inside the ward at Bareilly Cantt chc,Health (Medical),Medium
"clean water nahi aa raha hai Gram Kachhona mein, paani bohot ganda hai",Sanitation & Water (Jal Nigam/Nagar Nigam),High
"ambulance nahi aa rahi Hazratganj, Lucknow mein, patient serious hai",Health (Medical),High
internet nahi chal raha Post Kakori panchayat bhavan me,Rural Development (Panchayati Raj),Low
ladayi ho rahi hai Bareilly Cantt chourahe par,Police (Home Dept),High
child kidnapped from Prayagraj City school area,Police (Home Dept),High
child kidnapped from Village Basrehar school area,Police (Home Dept),High
phone chori ho gaya Gram Kachhona market me,Police (Home Dept),Medium
"sewage water mixing with drinking water in Village Rampur, kids falling sick",Sanitation & Water (Jal Nigam/Nagar Nigam),High
sadak par bada gadda hai Noida Sector 18 market ke paas,Roads (PWD/NHAI),High
sadak par bada gadda hai Mau Tehsil market ke paas,Roads (PWD/NHAI),High
meter reading galat hai Basti wale ghar ki,Electricity (UPPCL),Medium
bijli ka bill bahut jyada aaya hai Village Basrehar mein,Electricity (UPPCL),Medium
"footpath tiles broken in some places at Gomti Nagar, Lucknow",Roads (PWD/NHAI),Low
need a sign board direction for Gonda City village,Roads (PWD/NHAI),Low
meter name change application pending in Gonda City,Electricity (UPPCL),Low
character certificate chahiye Raebareli Market police station se,Police (Home Dept),Low
oxygen cylinder available nahi hai Gram Kachhona hospital me,Health (Medical),High
request to start sewing center for women in Tehsil Bikapur,Rural Development (Panchayati Raj),Low
transformer caught fire in Sitapur One and oil is leaking,Electricity (UPPCL),High
low voltage problem in Raebareli Market during evening hours,Electricity (UPPCL),Medium
traffic police asking for bribe at Basti crossing,Police (Home Dept),Medium
solar panel subsidy ki jankari chahiye Village Basrehar ke liye,Electricity (UPPCL),Low
" मच्छर बहुत हो गए हैं Civil Lines, Kanpur में, फॉगिंग करवाओ",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
"loudspeaker shor kar raha hai Sigra, Varanasi mein raat ko",Police (Home Dept),Medium
footpath tiles broken in some places at Unnao City,Roads (PWD/NHAI),Low
internet nahi chal raha Village Rampur panchayat bhavan me,Rural Development (Panchayati Raj),Low
mobile phone snatched while walking in Agra Fort area,Police (Home Dept),Medium
"chori ho gayi hai Post Kakori mein, police bhejo",Police (Home Dept),High
library books request for Post Kakori village school,Rural Development (Panchayati Raj),Low
"open manhole on main road in Mau Tehsil, heavy accident risk",Sanitation & Water (Jal Nigam/Nagar Nigam),High
potholes needs repair in Barabanki Town before monsoon,Roads (PWD/NHAI),Medium
public toilet tap is dripping in Prayagraj City,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
"encroachment by shopkeepers on road in Hazratganj, Lucknow",Roads (PWD/NHAI),Medium
general query about filing fir online for Gram Panchayat Bojhi resident,Police (Home Dept),Low
huge crater in middle of road at Block Malihabad causing accidents daily,Roads (PWD/NHAI),High
frequent power cuts in Remote area of Sonbhadra is affecting exam preparation,Electricity (UPPCL),Medium
solar panel subsidy ki jankari chahiye Prayagraj City ke liye,Electricity (UPPCL),Low
"need a sign board direction for Gomti Nagar, Lucknow village",Roads (PWD/NHAI),Low
" मच्छर बहुत हो गए हैं Meerut City में, फॉगिंग करवाओ",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
"live wire fell on the street in Gomti Nagar, Lucknow, huge danger to kids",Electricity (UPPCL),High
huge crater in middle of road at Remote area of Sonbhadra causing accidents daily,Roads (PWD/NHAI),High
" मच्छर बहुत हो गए हैं Gram Kachhona में, फॉगिंग करवाओ",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
"flood water entered village houses in Gram Panchayat Bojhi, need rescue",Rural Development (Panchayati Raj),High
"flood water entered village houses in Post Kakori, need rescue",Rural Development (Panchayati Raj),High
kachra uthane vali gaadi nahi aayi Agra Fort area mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
sadak toot gayi hai Meerut City mein,Roads (PWD/NHAI),Medium
talaab par kabza ho raha hai Mau Tehsil gaon mein,Rural Development (Panchayati Raj),Medium
public toilet tap is dripping in Village Rampur,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
poore gaon mein light nahi hai Hardoi City mein pichle 2 din se,Electricity (UPPCL),High
need a sign board direction for Hardoi City village,Roads (PWD/NHAI),Low
huge crater in middle of road at Mau Tehsil causing accidents daily,Roads (PWD/NHAI),High
internet nahi chal raha Mau Tehsil panchayat bhavan me,Rural Development (Panchayati Raj),Low
dogs roaming inside the ward at Barabanki Town chc,Health (Medical),Medium
need a sign board direction for Post Kakori village,Roads (PWD/NHAI),Low
talaab par kabza ho raha hai Village Basrehar gaon mein,Rural Development (Panchayati Raj),Medium
"sewage water mixing with drinking water in Tehsil Bikapur, kids falling sick",Sanitation & Water (Jal Nigam/Nagar Nigam),High
character certificate chahiye Etawah Main police station se,Police (Home Dept),Low
unhygienic toilets in the Bareilly Cantt government hospital,Health (Medical),Medium
vaccine kab lagega Etawah Main center par?,Health (Medical),Low
doctor refused to treat critical patient in Village Rampur phc,Health (Medical),High
"transformer caught fire in Sigra, Varanasi and oil is leaking",Electricity (UPPCL),High
"traffic police asking for bribe at Gomti Nagar, Lucknow crossing",Police (Home Dept),Medium
"chori ho gayi hai Post Kakori mein, police bhejo",Police (Home Dept),High
talaab par kabza ho raha hai Village Rampur gaon mein,Rural Development (Panchayati Raj),Medium
unhygienic toilets in the Barabanki Town government hospital,Health (Medical),Medium
phone chori ho gaya Remote area of Sonbhadra market me,Police (Home Dept),Medium
phone chori ho gaya Raebareli Market market me,Police (Home Dept),Medium
"sewage water mixing with drinking water in Basti, kids falling sick",Sanitation & Water (Jal Nigam/Nagar Nigam),High
encroachment by shopkeepers on road in Barabanki Town,Roads (PWD/NHAI),Medium
"sewage water mixing with drinking water in Sigra, Varanasi, kids falling sick",Sanitation & Water (Jal Nigam/Nagar Nigam),High
armed robbery in shop at Gram Kachhona market last night,Police (Home Dept),High
potholes needs repair in Gonda City before monsoon,Roads (PWD/NHAI),Medium
"ambulance nahi aa rahi Meerut City mein, patient serious hai",Health (Medical),High
talaab par kabza ho raha hai Gram Kachhona gaon mein,Rural Development (Panchayati Raj),Medium
dogs roaming inside the ward at Basti chc,Health (Medical),Medium
"open manhole on main road in Gomti Nagar, Lucknow, heavy accident risk",Sanitation & Water (Jal Nigam/Nagar Nigam),High
doctor late aate hain Unnao City hospital mein,Health (Medical),Medium
request to start sewing center for women in Village Basrehar,Rural Development (Panchayati Raj),Low
child kidnapped from Post Kakori school area,Police (Home Dept),High
general query about filing fir online for Gram Panchayat Bojhi resident,Police (Home Dept),Low
need a sign board direction for Bareilly Cantt village,Roads (PWD/NHAI),Low
character certificate chahiye Orai police station se,Police (Home Dept),Low
"mobile phone snatched while walking in Civil Lines, Kanpur",Police (Home Dept),Medium
"live wire fell on the street in Bareilly Cantt, huge danger to kids",Electricity (UPPCL),High
"Post Kakori me transformer jal gaya hai, turant change karein",Electricity (UPPCL),High
doctor refused to treat critical patient in Village Basrehar phc,Health (Medical),High
"ambulance nahi aa rahi Unnao City mein, patient serious hai",Health (Medical),High
internet nahi chal raha Remote area of Sonbhadra panchayat bhavan me,Rural Development (Panchayati Raj),Low
"primary school roof is leaking in Tehsil Bikapur, dangerous for kids",Rural Development (Panchayati Raj),Medium
park needs cleaning in Bareilly Cantt residential area,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
need a sign board direction for Hardoi City village,Roads (PWD/NHAI),Low
"meter name change application pending in Hazratganj, Lucknow",Electricity (UPPCL),Low
"Hardoi City me transformer jal gaya hai, turant change karein",Electricity (UPPCL),High
park needs cleaning in Block Malihabad residential area,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
meter reading galat hai Remote area of Sonbhadra wale ghar ki,Electricity (UPPCL),Medium
"poore gaon mein light nahi hai Sigra, Varanasi mein pichle 2 din se",Electricity (UPPCL),High
kachra uthane vali gaadi nahi aayi Village Chhata mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
fake medicine racket operating in Village Basrehar medical stores,Health (Medical),High
"open manhole on main road in Gram Panchayat Bojhi, heavy accident risk",Sanitation & Water (Jal Nigam/Nagar Nigam),High
street light pole looking tilted in Orai,Electricity (UPPCL),Low
library books request for Post Kakori village school,Rural Development (Panchayati Raj),Low
pradhan embezzled all money for road construction in Gram Panchayat Bojhi,Rural Development (Panchayati Raj),High
handpump kharab hai Ghaziabad mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
ganda paani nalo se aa raha hai Hardoi City area me,Sanitation & Water (Jal Nigam/Nagar Nigam),High
talaab par kabza ho raha hai Tehsil Bikapur gaon mein,Rural Development (Panchayati Raj),Medium
request to start sewing center for women in Mau Tehsil,Rural Development (Panchayati Raj),Low
transformer caught fire in Post Kakori and oil is leaking,Electricity (UPPCL),High
x-ray machine kharab hai Ghaziabad mein,Health (Medical),Medium
general query about filing fir online for Agra Fort area resident,Police (Home Dept),Low
"low voltage problem in Hazratganj, Lucknow during evening hours",Electricity (UPPCL),Medium
"sewage water mixing with drinking water in Village Basrehar, kids falling sick",Sanitation & Water (Jal Nigam/Nagar Nigam),High
library books request for Village Rampur village school,Rural Development (Panchayati Raj),Low
village pond is being encroached by builder in Remote area of Sonbhadra,Rural Development (Panchayati Raj),Medium
footpath tiles broken in some places at Block Malihabad,Roads (PWD/NHAI),Low
phone chori ho gaya Raebareli Market market me,Police (Home Dept),Medium
"flood water entered village houses in Village Chhata, need rescue",Rural Development (Panchayati Raj),High
x-ray machine kharab hai Gram Kachhona mein,Health (Medical),Medium
x-ray machine kharab hai Agra Fort area mein,Health (Medical),Medium
park needs cleaning in Remote area of Sonbhadra residential area,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
mnrega ka paisa nahi mila Post Kakori mein,Rural Development (Panchayati Raj),High
"character certificate chahiye Gomti Nagar, Lucknow police station se",Police (Home Dept),Low
"live wire fell on the street in Hazratganj, Lucknow, huge danger to kids",Electricity (UPPCL),High
ganda paani nalo se aa raha hai Mau Tehsil area me,Sanitation & Water (Jal Nigam/Nagar Nigam),High
"live wire fell on the street in Civil Lines, Kanpur, huge danger to kids",Electricity (UPPCL),High
pradhan ne paisa kha liya Post Kakori road ka,Rural Development (Panchayati Raj),High
vaccine kab lagega Block Malihabad center par?,Health (Medical),Low
request to start sewing center for women in Village Chhata,Rural Development (Panchayati Raj),Low
park needs cleaning in Meerut City residential area,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
long waiting line for opd registration in Ghaziabad,Health (Medical),Low
zebra crossing repaint kara do Barabanki Town chowk par,Roads (PWD/NHAI),Low
meter name change application pending in Agra Fort area,Electricity (UPPCL),Low
bridge railing toot gayi hai Gram Kachhona mein,Roads (PWD/NHAI),High
"open manhole on main road in Block Malihabad, heavy accident risk",Sanitation & Water (Jal Nigam/Nagar Nigam),High
unhygienic toilets in the Post Kakori government hospital,Health (Medical),Medium
oxygen cylinder available nahi hai Noida Sector 18 hospital me,Health (Medical),High
long waiting line for opd registration in Noida Sector 18,Health (Medical),Low
huge crater in middle of road at Basti causing accidents daily,Roads (PWD/NHAI),High
low voltage problem in Mau Tehsil during evening hours,Electricity (UPPCL),Medium
x-ray machine kharab hai Village Rampur mein,Health (Medical),Medium
child kidnapped from Post Kakori school area,Police (Home Dept),High
huge crater in middle of road at Village Chhata causing accidents daily,Roads (PWD/NHAI),High
